termino,de,veredicto_de,fuente_de,fr,veredicto_fr,fuente_fr,ru,veredicto_ru,fuente_ru
Papelera de reciclaje,Papierkorb,correcto,Nombre oficial del elemento de escritorio en la interfaz de Windows en alemán,Corbeille,correcto,Nombre oficial del elemento de escritorio en la interfaz de Windows en francés,Корзина,correcto,Nombre oficial del elemento de escritorio en la interfaz de Windows en ruso
Explorador de archivos,Explorer,"correcto, forma corta habitual","La interfaz de Windows en alemán muestra ""Explorer""; ""Datei-Explorer"" aparece como nombre más completo en alguna documentación de Microsoft, pero no es un error usar la forma corta",Explorateur de fichiers,correcto,Nombre oficial completo en la interfaz de Windows en francés,Проводник,correcto,"Nombre oficial de Windows en ruso (nombre único, no compuesto como en otros idiomas)"
Administrador de credenciales,Anmeldeinformationsverwaltung,correcto,Nombre oficial del panel de control de Windows en alemán,Gestionnaire d'identification,"correcto, con matiz","learn.microsoft.com (documentación oficial) usa el nombre completo ""Gestionnaire d'informations d'identification""; ""Gestionnaire d'identification"" (sin ""informations"") también se ve en uso pero es la forma corta, no el título oficial de la documentación",Диспетчер учетных данных,correcto,Nombre oficial del panel de control de Windows en ruso
Microsoft Store,Microsoft Store,correcto,Marca registrada; no se traduce en ningún idioma,Microsoft Store,correcto,Marca registrada; no se traduce en ningún idioma,Microsoft Store,correcto,Marca registrada; no se traduce en ningún idioma
unidad,Laufwerk,correcto,Terminología oficial de Windows en alemán (p. ej. Explorador de archivos),lecteur,correcto,Terminología oficial de Windows en francés,диск,"correcto, con nota","El ruso no distingue ""unidad"" (drive) de ""disco"" (disk): las dos filas del glosario dan la misma palabra ""диск"" -- no es un error, Windows en ruso usa ""диск"" para ambos sentidos (""Диск C:"" y ""Управление дисками"" = Disk Management)"
disco,Datenträger,correcto,"Terminología oficial de Windows en alemán (Datenträgerverwaltung = Administración de discos)",disque,correcto,Terminología oficial de Windows en francés,диск,"correcto, con nota",Ver la nota de ""unidad"" -- misma palabra rusa para las dos filas del glosario
carpeta,Ordner,correcto,Terminología oficial de Windows en alemán,dossier,correcto,Terminología oficial de Windows en francés,папка,correcto,Terminología oficial de Windows en ruso
archivo,Datei,correcto,Terminología oficial de Windows en alemán,fichier,correcto,Terminología oficial de Windows en francés,файл,correcto,Terminología oficial de Windows en ruso
expulsar,Auswerfen,correcto,Menú contextual de Windows en alemán al hacer clic derecho sobre una unidad extraíble,Éjecter,correcto,Menú contextual de Windows en francés al hacer clic derecho sobre una unidad extraíble,Извлечь,correcto,Menú contextual de Windows en ruso al hacer clic derecho sobre una unidad extraíble
administrador,Administrator,correcto,Terminología oficial de Windows en alemán (cuenta de Administrator),administrateur,correcto,Terminología oficial de Windows en francés,администратор,correcto,Terminología oficial de Windows en ruso
dar formato,formatieren,correcto,"Menú contextual de Windows en alemán (""Formatieren…"")",formater,correcto,"Menú contextual de Windows en francés (""Formater…"")",форматировать,correcto,"Menú contextual de Windows en ruso (""Форматировать…"")"
controlador,Treiber,correcto,Terminología oficial de Windows en alemán (Gerätetreiber),pilote,correcto,Terminología oficial de Windows en francés (pilote de périphérique),драйвер,correcto,Terminología oficial de Windows en ruso
dispositivo,Gerät,correcto,Terminología oficial de Windows en alemán (Geräte-Manager),appareil,correcto,Terminología oficial de Windows en francés (Gestionnaire de périphériques),устройство,correcto,Terminología oficial de Windows en ruso (Диспетчер устройств)
Ajustes,Einstellungen,correcto,Nombre oficial de la app de Configuración de Windows en alemán,Paramètres,correcto,Nombre oficial de la app de Configuración de Windows en francés,Параметры,correcto,Nombre oficial de la app de Configuración de Windows en ruso
actualización,Update,"correcto, con matiz","""Update"" (préstamo del inglés) es lo más frecuente en la interfaz alemana de Windows Update, aunque la forma totalmente alemana ""Aktualisierung"" también es válida y aparece en textos más formales","mise à jour",correcto,Terminología oficial de Windows en francés (Windows Update = Mise à jour Windows),обновление,correcto,"Terminología oficial de Windows en ruso (Центр обновления Windows = Windows Update)"
tema,Design,correcto,"Confirmado: Configuración > Personalización > Diseños (""Design"") de Windows en alemán, no ""Thema""",thème,correcto,Terminología oficial de Windows en francés (Thèmes en Personalización),тема,correcto,Terminología oficial de Windows en ruso (Темы en Personalización)
biblioteca,Mediathek,"correcto para este contexto","No es terminología de Windows sino de reproductores de medios -- convención de iTunes/Windows Media Player en alemán",bibliothèque,"correcto para este contexto","No es terminología de Windows sino de reproductores de medios -- convención de iTunes/Windows Media Player en francés",медиатека,"correcto para este contexto","No es terminología de Windows sino de reproductores de medios -- convención de iTunes/Windows Media Player/Groove Music en ruso"
sincronizar,synchronisieren,correcto,Convención de iTunes/Windows Media Player en alemán,synchroniser,correcto,Convención de iTunes/Windows Media Player en francés,синхронизировать,correcto,Convención de iTunes/Windows Media Player en ruso
lista de reproducción,Wiedergabeliste,correcto,Convención de iTunes/Windows Media Player en alemán,liste de lecture,correcto,Convención de iTunes/Windows Media Player en francés,плейлист,correcto,"Confirmado con búsqueda real (Yandex.Music, comunidad de soporte de Microsoft en ruso): ""плейлист"" (préstamo del inglés) es el término dominante y de uso corriente, no un anglicismo marginal"
canción,Titel,correcto,"Convención de iTunes/Windows Media Player en alemán (no ""Lied"" ni ""Song"")",morceau,correcto,Convención de iTunes/Windows Media Player en francés,песня,"el glosario propone песня, pero NO es lo que se usó -- ver hallazgo de terminología","criticas-ru.csv usa ""композиция"" en las cuatro filas donde aparece (c147/c148 x2/c155/c177), nunca ""песня"" ni ""трек"". Contrastado con Yandex.Music (búsqueda real, 2026-09): el término DOMINANTE en la UI real de un servicio de música ruso es ""трек"" (""Треки с устройства"", ""порядок треков в плейлисте"", ""Добавить трек""); ""композиция"" aparece en textos de ayuda más formales/descriptivos, no en botones ni etiquetas cortas de la interfaz; ""песня"" (canción con voz) es más restringido semánticamente que ""track"" genérico (aplica mal a un instrumental). Ninguno de los tres es ""incorrecto"" en sí, pero ""композиция"" (lo ya usado) y ""трек"" (lo más frecuente en UI real) son mejores candidatos que ""песня"" -- recomendado que el Experto reconcilie la fila del glosario con lo que de verdad se usó, no al revés"
álbum,Album,correcto,Convención de iTunes/Windows Media Player en alemán,album,correcto,Convención de iTunes/Windows Media Player en francés,альбом,correcto,Convención de iTunes/Windows Media Player en ruso
carátula,Albumcover,correcto,"Convención de iTunes/Windows Media Player en alemán; también se ve solo ""Cover"", igual de válido",pochette,correcto,"Convención estándar en francés (""pochette d'album"")",обложка,correcto,Término estándar en ruso para carátula de álbum
